26	11	2025	15	50	49	5175351	 4815962	 4347550	 5060519	 2396265	 5969771	 4503978	 4418327	 4273948	 3917635	 7335	 5897	 7813	 8194	 7787	 3709	 11006	 9949
26	11	2025	15	50	50	5175489	 4815667	 4347670	 5060198	 2398388	 5969498	 4501656	 4418402	 4274172	 3916336	 7067	 5903	 7825	 8214	 7788	 3710	 11007	 9948
26	11	2025	15	50	51	5175707	 4815310	 4347701	 5060029	 2396099	 5969324	 4503822	 4418307	 4274111	 3916343	 7324	 5911	 7834	 8209	 7789	 3707	 10991	 9945
26	11	2025	15	50	52	5175890	 4815310	 4347706	 5060216	 2395573	 5969026	 4501462	 4418454	 4274270	 3916408	 7596	 5912	 7826	 8193	 7784	 3700	 11010	 9949
26	11	2025	15	50	53	5175642	 4815476	 4347606	 5060070	 2396908	 5969798	 4501576	 4418211	 4274247	 3916567	 7602	 5903	 7825	 8181	 7787	 3703	 11023	 9949
26	11	2025	15	50	54	5175594	 4815151	 4347451	 5060246	 2399061	 5969681	 4499968	 4418271	 4274225	 3915906	 7324	 5895	 7822	 8193	 7793	 3707	 11021	 9943
26	11	2025	15	50	55	5175594	 4815151	 4347492	 5060158	 2402672	 5968677	 4500748	 4418181	 4274078	 3915640	 7067	 5903	 7825	 8208	 7795	 3706	 11006	 9943
26	11	2025	15	50	56	5175830	 4815018	 4347553	 5060228	 2398468	 5969485	 4502741	 4418214	 4273851	 3916247	 7311	 5912	 7829	 8206	 7787	 3702	 10993	 9945
26	11	2025	15	50	57	5175172	 4815137	 4347315	 5060337	 2397026	 5969553	 4501804	 4418435	 4273858	 3916657	 7310	 5910	 7824	 8193	 7779	 3701	 11007	 9952
26	11	2025	15	50	58	5175243	 4814892	 4347450	 5060415	 2391075	 5969052	 4502071	 4418513	 4273949	 3916146	 7570	 5901	 7820	 8179	 7788	 3702	 11008	 9951
26	11	2025	15	50	59	5175515	 4814985	 4347369	 5060046	 2388421	 5969200	 4501558	 4418531	 4273722	 3918149	 7327	 5896	 7823	 8193	 7786	 3704	 11019	 9949
26	11	2025	15	51	00	5175853	 4815183	 4347250	 5060104	 2387213	 5968985	 4504828	 4417945	 4273355	 3918635	 7080	 5902	 7824	 8193	 7794	 3703	 11007	 9940
26	11	2025	15	51	01	5176126	 4815032	 4347358	 5060064	 2386016	 5968327	 4504036	 4418344	 4273529	 3917092	 7121	 5903	 7836	 8202	 7788	 3703	 10993	 9945
